epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2083.68,3.3278,3.48762,3.93001,0.0083,0.30046,0.01383,0.00442,3.25746,3.98724,4.45523,0.000661333,0.000661333,0.000661333
2,3184.97,2.82476,3.08933,3.19823,0.04683,0.12991,0.02749,0.00829,2.6362,4.68809,3.15435,0.00130171,0.00130171,0.00130171
3,4454.26,2.56608,2.83426,2.89247,0.13944,0.19087,0.07629,0.02624,2.42613,5.38693,2.86686,0.00191568,0.00191568,0.00191568
4,5573.44,2.37242,2.6783,2.68128,0.21004,0.19178,0.13459,0.05583,2.25019,2.74287,2.74431,0.0018812,0.0018812,0.0018812
5,6584.25,2.23536,2.46987,2.52762,0.27392,0.2895,0.2054,0.08335,2.16086,2.61206,2.56492,0.0018416,0.0018416,0.0018416
6,7683.81,2.10203,2.32628,2.41013,0.33745,0.32215,0.27212,0.12599,1.98371,2.5582,2.38583,0.001802,0.001802,0.001802
7,8959.75,2.01397,2.2169,2.29837,0.34228,0.32283,0.28187,0.12139,2.03902,2.75709,2.36559,0.0017624,0.0017624,0.0017624
8,12938.8,1.92868,2.13358,2.22576,0.44951,0.3874,0.37533,0.18246,1.87512,2.0909,2.21163,0.0017228,0.0017228,0.0017228
9,14396.1,1.86794,2.04957,2.16778,0.57147,0.42329,0.47216,0.23936,1.81895,1.9016,2.14236,0.0016832,0.0016832,0.0016832
10,15918.4,1.80332,1.98832,2.11026,0.57732,0.42489,0.47951,0.25065,1.76563,1.89398,2.10026,0.0016436,0.0016436,0.0016436
11,17372.5,1.78601,1.89861,2.0555,0.55692,0.45799,0.49779,0.25131,1.72752,1.89334,2.04891,0.001604,0.001604,0.001604
12,18892.8,1.73723,1.87757,2.02212,0.61322,0.47717,0.54172,0.29136,1.64522,1.77314,1.96247,0.0015644,0.0015644,0.0015644
13,20259.9,1.7098,1.84246,1.98696,0.64556,0.48288,0.54715,0.30556,1.62666,1.75583,1.96311,0.0015248,0.0015248,0.0015248
14,21777.9,1.67505,1.75584,1.94528,0.58174,0.42032,0.47671,0.25922,1.67365,1.90703,1.99684,0.0014852,0.0014852,0.0014852
15,23306.2,1.64936,1.71906,1.92856,0.6029,0.46142,0.51568,0.2781,1.61091,1.9048,1.94133,0.0014456,0.0014456,0.0014456
16,24832.1,1.60859,1.69341,1.90036,0.68694,0.53242,0.60707,0.34622,1.55552,1.56158,1.85265,0.001406,0.001406,0.001406
17,29378,1.60219,1.6559,1.86881,0.67964,0.54772,0.61959,0.36582,1.46451,1.68225,1.80141,0.0013664,0.0013664,0.0013664
18,31656.2,1.56694,1.62641,1.83505,0.67538,0.55114,0.62974,0.38319,1.46352,1.48177,1.79491,0.0013268,0.0013268,0.0013268
19,33030,1.5421,1.60839,1.82474,0.73826,0.58333,0.67974,0.41482,1.4286,1.44284,1.73948,0.0012872,0.0012872,0.0012872
20,34518.2,1.52054,1.58905,1.79521,0.73213,0.58059,0.66523,0.3933,1.44907,1.44308,1.752,0.0012476,0.0012476,0.0012476
21,36023.4,1.51054,1.54189,1.78549,0.72222,0.59315,0.67798,0.42031,1.39904,1.37218,1.70596,0.001208,0.001208,0.001208
22,37451.6,1.50161,1.51752,1.76609,0.73784,0.59726,0.68593,0.42537,1.39885,1.34088,1.71566,0.0011684,0.0011684,0.0011684
23,38525.2,1.47981,1.50492,1.75703,0.77884,0.60548,0.70104,0.42616,1.41416,1.3634,1.70027,0.0011288,0.0011288,0.0011288
24,39594.5,1.46156,1.50839,1.74567,0.72047,0.60551,0.68309,0.42267,1.43785,1.37228,1.72198,0.0010892,0.0010892,0.0010892
25,40666.7,1.43454,1.45117,1.71366,0.77915,0.60251,0.7078,0.44171,1.37636,1.29727,1.67048,0.0010496,0.0010496,0.0010496
26,41734,1.44768,1.45523,1.72718,0.76012,0.60959,0.7094,0.44092,1.35207,1.30704,1.65304,0.00101,0.00101,0.00101
27,42792.6,1.44612,1.46405,1.7127,0.77413,0.61191,0.70573,0.42841,1.38179,1.45121,1.65939,0.0009704,0.0009704,0.0009704
28,43854,1.41717,1.42608,1.68747,0.74967,0.61164,0.69808,0.424,1.32116,1.32131,1.62426,0.0009308,0.0009308,0.0009308
29,44919.4,1.40112,1.4063,1.6719,0.77365,0.63128,0.73101,0.46827,1.28561,1.20756,1.58235,0.0008912,0.0008912,0.0008912
